image_name,thesis_class,true_scene_label,vgg_predicted_label,vgg_confidence,vgg_aligned,resnet_predicted_label,resnet_confidence,resnet_aligned
Places365_val_00000026.jpg,water,river,American egret,0.1086,True,schooner,0.0721,False
Places365_val_00000150.jpg,street,street,street sign,0.1697,True,street sign,0.1901,False
Places365_val_00000220.jpg,building,skyscraper,solar dish,0.7973,True,solar dish,0.5907,False
Places365_val_00000246.jpg,street,alley,prison,0.2217,True,church,0.5162,False
Places365_val_00000464.jpg,street,street,snowplow,0.0766,True,lakeside,0.0651,False
Places365_val_00000628.jpg,building,hotel-outdoor,planetarium,0.1428,True,lakeside,0.1508,False
Places365_val_00001160.jpg,street,street,prison,0.3285,True,prison,0.606,False
Places365_val_00001259.jpg,street,street,streetcar,0.0817,True,maze,0.0715,False
Places365_val_00001348.jpg,street,street,swing,0.1179,True,swing,0.2706,False
Places365_val_00002186.jpg,forest,rainforest,valley,0.1301,True,rapeseed,0.1668,False
Places365_val_00003055.jpg,forest,rainforest,pot,0.3455,True,pot,0.4269,False
Places365_val_00006321.jpg,mountain,mountain,lakeside,0.1865,True,lakeside,0.6857,False
Places365_val_00007187.jpg,mountain,mountain,lakeside,0.3599,True,lakeside,0.3092,False
