image_name,image_path,true_scene_label,thesis_class,predicted_label,confidence,top5_predictions,semantically_aligned
Places365_val_00000045.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000045.jpg,skyscraper,building,dome,0.4898,"[{""rank"": 1, ""label"": ""dome"", ""confidence"": 0.4898}, {""rank"": 2, ""label"": ""planetarium"", ""confidence"": 0.3449}, {""rank"": 3, ""label"": ""solar dish"", ""confidence"": 0.1393}, {""rank"": 4, ""label"": ""grille"", ""confidence"": 0.0019}, {""rank"": 5, ""label"": ""greenhouse"", ""confidence"": 0.0017}]",True
Places365_val_00000143.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000143.jpg,house,building,thatch,0.3086,"[{""rank"": 1, ""label"": ""thatch"", ""confidence"": 0.3086}, {""rank"": 2, ""label"": ""picket fence"", ""confidence"": 0.1133}, {""rank"": 3, ""label"": ""maypole"", ""confidence"": 0.0722}, {""rank"": 4, ""label"": ""palace"", ""confidence"": 0.0524}, {""rank"": 5, ""label"": ""church"", ""confidence"": 0.0321}]",True
Places365_val_00000214.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000214.jpg,house,building,tile roof,0.4911,"[{""rank"": 1, ""label"": ""tile roof"", ""confidence"": 0.4911}, {""rank"": 2, ""label"": ""monastery"", ""confidence"": 0.2312}, {""rank"": 3, ""label"": ""dome"", ""confidence"": 0.1062}, {""rank"": 4, ""label"": ""bell cote"", ""confidence"": 0.048}, {""rank"": 5, ""label"": ""church"", ""confidence"": 0.0445}]",True
Places365_val_00000740.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000740.jpg,skyscraper,building,castle,0.5038,"[{""rank"": 1, ""label"": ""castle"", ""confidence"": 0.5038}, {""rank"": 2, ""label"": ""valley"", ""confidence"": 0.0808}, {""rank"": 3, ""label"": ""church"", ""confidence"": 0.0737}, {""rank"": 4, ""label"": ""viaduct"", ""confidence"": 0.0416}, {""rank"": 5, ""label"": ""alp"", ""confidence"": 0.0368}]",True
Places365_val_00000963.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000963.jpg,house,building,patio,0.1869,"[{""rank"": 1, ""label"": ""patio"", ""confidence"": 0.1869}, {""rank"": 2, ""label"": ""monastery"", ""confidence"": 0.1808}, {""rank"": 3, ""label"": ""tile roof"", ""confidence"": 0.158}, {""rank"": 4, ""label"": ""mobile home"", ""confidence"": 0.1047}, {""rank"": 5, ""label"": ""solar dish"", ""confidence"": 0.0596}]",True
Places365_val_00000975.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000975.jpg,house,building,castle,0.6986,"[{""rank"": 1, ""label"": ""castle"", ""confidence"": 0.6986}, {""rank"": 2, ""label"": ""megalith"", ""confidence"": 0.0888}, {""rank"": 3, ""label"": ""alp"", ""confidence"": 0.0527}, {""rank"": 4, ""label"": ""stone wall"", ""confidence"": 0.0364}, {""rank"": 5, ""label"": ""ibex"", ""confidence"": 0.016}]",True
Places365_val_00001149.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00001149.jpg,house,building,boathouse,0.8054,"[{""rank"": 1, ""label"": ""boathouse"", ""confidence"": 0.8054}, {""rank"": 2, ""label"": ""lakeside"", ""confidence"": 0.1447}, {""rank"": 3, ""label"": ""palace"", ""confidence"": 0.0348}, {""rank"": 4, ""label"": ""paddlewheel"", ""confidence"": 0.0056}, {""rank"": 5, ""label"": ""dock"", ""confidence"": 0.0015}]",True
Places365_val_00001265.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00001265.jpg,skyscraper,building,cinema,0.1392,"[{""rank"": 1, ""label"": ""cinema"", ""confidence"": 0.1392}, {""rank"": 2, ""label"": ""missile"", ""confidence"": 0.0486}, {""rank"": 3, ""label"": ""panpipe"", ""confidence"": 0.0482}, {""rank"": 4, ""label"": ""projectile"", ""confidence"": 0.0408}, {""rank"": 5, ""label"": ""church"", ""confidence"": 0.031}]",True
Places365_val_00001392.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00001392.jpg,house,building,monastery,0.5124,"[{""rank"": 1, ""label"": ""monastery"", ""confidence"": 0.5124}, {""rank"": 2, ""label"": ""castle"", ""confidence"": 0.1101}, {""rank"": 3, ""label"": ""barn"", ""confidence"": 0.0764}, {""rank"": 4, ""label"": ""church"", ""confidence"": 0.0671}, {""rank"": 5, ""label"": ""apiary"", ""confidence"": 0.0544}]",True
Places365_val_00001412.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00001412.jpg,house,building,trolleybus,0.1324,"[{""rank"": 1, ""label"": ""trolleybus"", ""confidence"": 0.1324}, {""rank"": 2, ""label"": ""cinema"", ""confidence"": 0.1026}, {""rank"": 3, ""label"": ""palace"", ""confidence"": 0.0947}, {""rank"": 4, ""label"": ""prison"", ""confidence"": 0.0904}, {""rank"": 5, ""label"": ""passenger car"", ""confidence"": 0.0768}]",True
Places365_val_00001422.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00001422.jpg,skyscraper,building,palace,0.1273,"[{""rank"": 1, ""label"": ""palace"", ""confidence"": 0.1273}, {""rank"": 2, ""label"": ""castle"", ""confidence"": 0.0956}, {""rank"": 3, ""label"": ""obelisk"", ""confidence"": 0.08}, {""rank"": 4, ""label"": ""airship"", ""confidence"": 0.0754}, {""rank"": 5, ""label"": ""fountain"", ""confidence"": 0.0558}]",True
