image_name,image_path,true_scene_label,predicted_label,confidence,top5_predictions,semantically_aligned,thesis_class
Places365_val_00000009.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000009.jpg,forest-broadleaf,lakeside,0.0747,"[{""rank"": 1, ""label"": ""lakeside"", ""confidence"": 0.0747}, {""rank"": 2, ""label"": ""wool"", ""confidence"": 0.0575}, {""rank"": 3, ""label"": ""poncho"", ""confidence"": 0.052}, {""rank"": 4, ""label"": ""valley"", ""confidence"": 0.0339}, {""rank"": 5, ""label"": ""cloak"", ""confidence"": 0.0327}]",True,forest
Places365_val_00000017.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000017.jpg,glacier,alp,0.8993,"[{""rank"": 1, ""label"": ""alp"", ""confidence"": 0.8993}, {""rank"": 2, ""label"": ""valley"", ""confidence"": 0.0897}, {""rank"": 3, ""label"": ""cliff"", ""confidence"": 0.0051}, {""rank"": 4, ""label"": ""mountain tent"", ""confidence"": 0.0019}, {""rank"": 5, ""label"": ""volcano"", ""confidence"": 0.0012}]",True,glacier
Places365_val_00000025.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000025.jpg,ocean,promontory,0.7973,"[{""rank"": 1, ""label"": ""promontory"", ""confidence"": 0.7973}, {""rank"": 2, ""label"": ""cliff"", ""confidence"": 0.0974}, {""rank"": 3, ""label"": ""seashore"", ""confidence"": 0.058}, {""rank"": 4, ""label"": ""valley"", ""confidence"": 0.0284}, {""rank"": 5, ""label"": ""lakeside"", ""confidence"": 0.0093}]",True,water
Places365_val_00000026.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000026.jpg,river,American egret,0.1086,"[{""rank"": 1, ""label"": ""American egret"", ""confidence"": 0.1086}, {""rank"": 2, ""label"": ""spoonbill"", ""confidence"": 0.0807}, {""rank"": 3, ""label"": ""albatross"", ""confidence"": 0.0723}, {""rank"": 4, ""label"": ""seashore"", ""confidence"": 0.0719}, {""rank"": 5, ""label"": ""lakeside"", ""confidence"": 0.0562}]",True,water
Places365_val_00000041.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000041.jpg,mountain,alp,0.348,"[{""rank"": 1, ""label"": ""alp"", ""confidence"": 0.348}, {""rank"": 2, ""label"": ""mountain tent"", ""confidence"": 0.1757}, {""rank"": 3, ""label"": ""volcano"", ""confidence"": 0.1522}, {""rank"": 4, ""label"": ""valley"", ""confidence"": 0.1399}, {""rank"": 5, ""label"": ""cliff"", ""confidence"": 0.0346}]",True,mountain
Places365_val_00000045.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000045.jpg,skyscraper,planetarium,0.7158,"[{""rank"": 1, ""label"": ""planetarium"", ""confidence"": 0.7158}, {""rank"": 2, ""label"": ""solar dish"", ""confidence"": 0.161}, {""rank"": 3, ""label"": ""dome"", ""confidence"": 0.1034}, {""rank"": 4, ""label"": ""greenhouse"", ""confidence"": 0.0037}, {""rank"": 5, ""label"": ""prison"", ""confidence"": 0.0022}]",True,building
Places365_val_00000046.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000046.jpg,street,parachute,0.2033,"[{""rank"": 1, ""label"": ""parachute"", ""confidence"": 0.2033}, {""rank"": 2, ""label"": ""unicycle"", ""confidence"": 0.1461}, {""rank"": 3, ""label"": ""maypole"", ""confidence"": 0.1443}, {""rank"": 4, ""label"": ""flagpole"", ""confidence"": 0.0722}, {""rank"": 5, ""label"": ""pole"", ""confidence"": 0.0472}]",False,street
Places365_val_00000047.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000047.jpg,alley,park bench,0.1075,"[{""rank"": 1, ""label"": ""park bench"", ""confidence"": 0.1075}, {""rank"": 2, ""label"": ""dam"", ""confidence"": 0.0651}, {""rank"": 3, ""label"": ""viaduct"", ""confidence"": 0.0551}, {""rank"": 4, ""label"": ""suspension bridge"", ""confidence"": 0.0532}, {""rank"": 5, ""label"": ""fountain"", ""confidence"": 0.0518}]",False,street
Places365_val_00000143.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000143.jpg,house,thatch,0.7498,"[{""rank"": 1, ""label"": ""thatch"", ""confidence"": 0.7498}, {""rank"": 2, ""label"": ""boathouse"", ""confidence"": 0.0217}, {""rank"": 3, ""label"": ""patio"", ""confidence"": 0.0209}, {""rank"": 4, ""label"": ""maypole"", ""confidence"": 0.0197}, {""rank"": 5, ""label"": ""flagpole"", ""confidence"": 0.0094}]",True,building
Places365_val_00000150.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000150.jpg,street,street sign,0.1697,"[{""rank"": 1, ""label"": ""street sign"", ""confidence"": 0.1697}, {""rank"": 2, ""label"": ""traffic light"", ""confidence"": 0.1058}, {""rank"": 3, ""label"": ""streetcar"", ""confidence"": 0.0909}, {""rank"": 4, ""label"": ""cinema"", ""confidence"": 0.0659}, {""rank"": 5, ""label"": ""turnstile"", ""confidence"": 0.0418}]",True,street
