image_name,image_path,true_scene_label,thesis_class,predicted_label,confidence,top5_predictions,semantically_aligned
Places365_val_00000220.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000220.jpg,skyscraper,building,solar dish,0.5907,"[{""rank"": 1, ""label"": ""solar dish"", ""confidence"": 0.5907}, {""rank"": 2, ""label"": ""bell cote"", ""confidence"": 0.0606}, {""rank"": 3, ""label"": ""freight car"", ""confidence"": 0.0272}, {""rank"": 4, ""label"": ""radio"", ""confidence"": 0.0228}, {""rank"": 5, ""label"": ""desktop computer"", ""confidence"": 0.0173}]",False
Places365_val_00000451.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000451.jpg,skyscraper,building,scoreboard,0.5644,"[{""rank"": 1, ""label"": ""scoreboard"", ""confidence"": 0.5644}, {""rank"": 2, ""label"": ""brass"", ""confidence"": 0.0346}, {""rank"": 3, ""label"": ""container ship"", ""confidence"": 0.0318}, {""rank"": 4, ""label"": ""traffic light"", ""confidence"": 0.0257}, {""rank"": 5, ""label"": ""water bottle"", ""confidence"": 0.0208}]",False
Places365_val_00001239.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00001239.jpg,skyscraper,building,beacon,0.2872,"[{""rank"": 1, ""label"": ""beacon"", ""confidence"": 0.2872}, {""rank"": 2, ""label"": ""bell cote"", ""confidence"": 0.1381}, {""rank"": 3, ""label"": ""picket fence"", ""confidence"": 0.0397}, {""rank"": 4, ""label"": ""flagpole"", ""confidence"": 0.0376}, {""rank"": 5, ""label"": ""water tower"", ""confidence"": 0.0268}]",False
Places365_val_00003876.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00003876.jpg,skyscraper,building,fireboat,0.3167,"[{""rank"": 1, ""label"": ""fireboat"", ""confidence"": 0.3167}, {""rank"": 2, ""label"": ""drilling platform"", ""confidence"": 0.1696}, {""rank"": 3, ""label"": ""breakwater"", ""confidence"": 0.0615}, {""rank"": 4, ""label"": ""container ship"", ""confidence"": 0.0405}, {""rank"": 5, ""label"": ""trimaran"", ""confidence"": 0.0402}]",False
Places365_val_00008426.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00008426.jpg,skyscraper,building,seashore,0.4891,"[{""rank"": 1, ""label"": ""seashore"", ""confidence"": 0.4891}, {""rank"": 2, ""label"": ""lakeside"", ""confidence"": 0.2095}, {""rank"": 3, ""label"": ""sandbar"", ""confidence"": 0.0382}, {""rank"": 4, ""label"": ""dock"", ""confidence"": 0.0176}, {""rank"": 5, ""label"": ""trailer truck"", ""confidence"": 0.0134}]",False
Places365_val_00010025.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00010025.jpg,house,building,traffic light,0.076,"[{""rank"": 1, ""label"": ""traffic light"", ""confidence"": 0.076}, {""rank"": 2, ""label"": ""Model T"", ""confidence"": 0.0625}, {""rank"": 3, ""label"": ""limousine"", ""confidence"": 0.0586}, {""rank"": 4, ""label"": ""passenger car"", ""confidence"": 0.0544}, {""rank"": 5, ""label"": ""steam locomotive"", ""confidence"": 0.0527}]",False
Places365_val_00012079.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00012079.jpg,skyscraper,building,water tower,0.8186,"[{""rank"": 1, ""label"": ""water tower"", ""confidence"": 0.8186}, {""rank"": 2, ""label"": ""beacon"", ""confidence"": 0.0942}, {""rank"": 3, ""label"": ""solar dish"", ""confidence"": 0.0088}, {""rank"": 4, ""label"": ""lakeside"", ""confidence"": 0.0078}, {""rank"": 5, ""label"": ""radio telescope"", ""confidence"": 0.0067}]",False
Places365_val_00013343.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00013343.jpg,skyscraper,building,aircraft carrier,0.4261,"[{""rank"": 1, ""label"": ""aircraft carrier"", ""confidence"": 0.4261}, {""rank"": 2, ""label"": ""dock"", ""confidence"": 0.079}, {""rank"": 3, ""label"": ""seashore"", ""confidence"": 0.0504}, {""rank"": 4, ""label"": ""submarine"", ""confidence"": 0.0497}, {""rank"": 5, ""label"": ""airliner"", ""confidence"": 0.0454}]",False
Places365_val_00014957.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00014957.jpg,skyscraper,building,seashore,0.0942,"[{""rank"": 1, ""label"": ""seashore"", ""confidence"": 0.0942}, {""rank"": 2, ""label"": ""lakeside"", ""confidence"": 0.0918}, {""rank"": 3, ""label"": ""airship"", ""confidence"": 0.0676}, {""rank"": 4, ""label"": ""bell cote"", ""confidence"": 0.0603}, {""rank"": 5, ""label"": ""fireboat"", ""confidence"": 0.0601}]",False
Places365_val_00017022.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00017022.jpg,house,building,minivan,0.2445,"[{""rank"": 1, ""label"": ""minivan"", ""confidence"": 0.2445}, {""rank"": 2, ""label"": ""minibus"", ""confidence"": 0.2041}, {""rank"": 3, ""label"": ""trolleybus"", ""confidence"": 0.0377}, {""rank"": 4, ""label"": ""passenger car"", ""confidence"": 0.0358}, {""rank"": 5, ""label"": ""rain barrel"", ""confidence"": 0.0313}]",False
Places365_val_00018299.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00018299.jpg,skyscraper,building,drilling platform,0.4922,"[{""rank"": 1, ""label"": ""drilling platform"", ""confidence"": 0.4922}, {""rank"": 2, ""label"": ""stage"", ""confidence"": 0.0773}, {""rank"": 3, ""label"": ""crane"", ""confidence"": 0.0352}, {""rank"": 4, ""label"": ""electric guitar"", ""confidence"": 0.0348}, {""rank"": 5, ""label"": ""bell cote"", ""confidence"": 0.03}]",False
Places365_val_00018410.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00018410.jpg,house,building,guillotine,0.3292,"[{""rank"": 1, ""label"": ""guillotine"", ""confidence"": 0.3292}, {""rank"": 2, ""label"": ""analog clock"", ""confidence"": 0.1404}, {""rank"": 3, ""label"": ""street sign"", ""confidence"": 0.0771}, {""rank"": 4, ""label"": ""bell cote"", ""confidence"": 0.043}, {""rank"": 5, ""label"": ""bannister"", ""confidence"": 0.0382}]",False
Places365_val_00018621.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00018621.jpg,skyscraper,building,stage,0.1569,"[{""rank"": 1, ""label"": ""stage"", ""confidence"": 0.1569}, {""rank"": 2, ""label"": ""scoreboard"", ""confidence"": 0.1004}, {""rank"": 3, ""label"": ""fountain"", ""confidence"": 0.0977}, {""rank"": 4, ""label"": ""bell cote"", ""confidence"": 0.0807}, {""rank"": 5, ""label"": ""candle"", ""confidence"": 0.0441}]",False
Places365_val_00018904.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00018904.jpg,skyscraper,building,crane,0.0993,"[{""rank"": 1, ""label"": ""crane"", ""confidence"": 0.0993}, {""rank"": 2, ""label"": ""flagpole"", ""confidence"": 0.0855}, {""rank"": 3, ""label"": ""solar dish"", ""confidence"": 0.0706}, {""rank"": 4, ""label"": ""bell cote"", ""confidence"": 0.0694}, {""rank"": 5, ""label"": ""suspension bridge"", ""confidence"": 0.0391}]",False
Places365_val_00019174.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00019174.jpg,house,building,convertible,0.1208,"[{""rank"": 1, ""label"": ""convertible"", ""confidence"": 0.1208}, {""rank"": 2, ""label"": ""minivan"", ""confidence"": 0.0873}, {""rank"": 3, ""label"": ""limousine"", ""confidence"": 0.0567}, {""rank"": 4, ""label"": ""beach wagon"", ""confidence"": 0.0564}, {""rank"": 5, ""label"": ""solar dish"", ""confidence"": 0.0389}]",False
Places365_val_00019699.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00019699.jpg,skyscraper,building,drilling platform,0.3079,"[{""rank"": 1, ""label"": ""drilling platform"", ""confidence"": 0.3079}, {""rank"": 2, ""label"": ""stage"", ""confidence"": 0.1144}, {""rank"": 3, ""label"": ""bell cote"", ""confidence"": 0.088}, {""rank"": 4, ""label"": ""fountain"", ""confidence"": 0.0585}, {""rank"": 5, ""label"": ""torch"", ""confidence"": 0.0415}]",False
Places365_val_00025437.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00025437.jpg,skyscraper,building,steam locomotive,0.0986,"[{""rank"": 1, ""label"": ""steam locomotive"", ""confidence"": 0.0986}, {""rank"": 2, ""label"": ""trailer truck"", ""confidence"": 0.0677}, {""rank"": 3, ""label"": ""loudspeaker"", ""confidence"": 0.0536}, {""rank"": 4, ""label"": ""space heater"", ""confidence"": 0.0504}, {""rank"": 5, ""label"": ""solar dish"", ""confidence"": 0.0432}]",False
Places365_val_00025507.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00025507.jpg,skyscraper,building,aircraft carrier,0.3462,"[{""rank"": 1, ""label"": ""aircraft carrier"", ""confidence"": 0.3462}, {""rank"": 2, ""label"": ""liner"", ""confidence"": 0.1723}, {""rank"": 3, ""label"": ""dock"", ""confidence"": 0.0762}, {""rank"": 4, ""label"": ""drilling platform"", ""confidence"": 0.0623}, {""rank"": 5, ""label"": ""scoreboard"", ""confidence"": 0.0376}]",False
